CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL1
ALLIS ,      ,OGE,1977,1
ARCTIC,      ,RED,2022,1
AUDI  ,      ,GLD,2009,1
AUDI  ,      ,GRY,2012,1
AUDI  ,      ,BLK,2013,1
AUSTIN,      ,RED,1964,1
AVANT ,      ,GRN,2022,1
B M W ,      ,GRN,1984,1
B M W ,      ,BLU,1995,1
B M W ,      ,BLK,2012,2
B M W ,      ,GRY,2012,3
B M W ,      ,SIL,2012,1
B M W ,      ,WHI,2012,4
B M W ,      ,GRY,2014,1
B M W ,      ,GRY,2015,1
B M W ,      ,WHI,2015,2
B M W ,      ,BLU,2016,1
B M W ,      ,GLD,2016,1
B M W ,      ,WHI,2016,1
CAD   ,      ,GLD,1982,1
CAN AM,      ,BLK,2016,1
CATPLR,      ,YLW,1999,1
CFMOTO,      ,BLU,2023,1
CHEV  ,      ,YLW,1953,1
CHEV  ,      ,SIL,1967,1
CHEV  ,      ,WHI,1980,1
CHEV  ,      ,RED,2018,1
CHRYS ,      ,GRN,1970,1
CHRYS ,      ,RED,1971,1
CHRYS ,      ,RED,1977,1
D BRN ,      ,WHI,1977,1
DAF   ,      ,WHI,2007,1
DATSUN,      ,WHI,1982,1
DATSUN,      ,BLU,1983,1
DEUTZ ,      ,GRN,1980,1
DEUTZ ,      ,GRN,1981,1
DODGE ,      ,WHI,1974,1
FERRAR,      ,RED,2020,2
FIAT  ,      ,OGE,1979,1
FIAT  ,      ,BRN,1985,1
FORD  ,      ,OGE,1930,1
FORD  ,      ,YLW,1934,1
FORD  ,      ,BLU,1966,1
FORD  ,      ,WHI,1967,1
FORD  ,      ,WHI,1971,1
FORD  ,      ,BLU,1974,1
FORD  ,      ,BLU,1977,1
FORD  ,      ,BLU,1979,1
FORD  ,      ,BLU,1983,1
FORD  ,      ,RED,1983,1
FORD  ,      ,WHI,1988,1
FORD  ,      ,BLU,1994,1
FORD  ,      ,GRN,2000,1
FORD  ,      ,SIL,2005,2
FORD  ,      ,RED,2006,2
FORD  ,      ,SIL,2006,1
FORD  ,      ,BLU,2007,2
FORD  ,      ,GLD,2007,1
FORD  ,      ,GRN,2007,1
FORD  ,      ,SIL,2007,2
FORD  ,      ,BLK,2008,1
FORD  ,      ,SIL,2008,1
FORD  ,      ,BLU,2009,1
FORD  ,      ,GRN,2009,1
FORD  ,      ,SIL,2009,1
FORD  ,      ,BLK,2010,1
FORD  ,      ,BLU,2010,1
FORD  ,      ,GRY,2010,2
FORD  ,      ,RED,2010,1
FORD  ,      ,SIL,2010,1
FORD  ,      ,WHI,2010,1
FORD  ,      ,BLK,2011,1
FORD  ,      ,RED,2011,1
FORD  ,      ,WHI,2011,1
FORD  ,      ,YLW,2011,1
FORD  ,      ,BLU,2012,1
FORD  ,      ,SIL,2012,1
FORD  ,      ,WHI,2012,1
FORD  ,      ,BRN,2013,1
FORD  ,      ,GRY,2013,1
FORD  ,      ,WHI,2013,1
FORD  ,      ,SIL,2014,1
FORD  ,      ,WHI,2014,2
FORD  ,      ,RED,2017,1
G WALL,      ,RED,2009,1
G WALL,      ,SIL,2011,1
G WALL,      ,WHI,2011,1
GMC   ,      ,YLW,1988,2
GMC   ,      ,YLW,2023,3
H DAV ,      ,BLK,2018,1
HAVAL ,      ,BLU,2021,1
HIGER ,      ,WHI,2013,1
HINO  ,      ,RED,1987,1
HINO  ,      ,WHI,2014,1
HOLDEN,      ,RED,1954,1
HOLDEN,      ,MRN,1956,1
HOLDEN,      ,GRN,1959,1
HOLDEN,      ,BLU,1964,1
HOLDEN,      ,FWN,1969,1
HOLDEN,      ,SIL,1969,1
HOLDEN,      ,BLU,1970,1
HOLDEN,      ,BRN,1971,1
HOLDEN,      ,BLU,1972,1
HOLDEN,      ,GRN,1974,1
HOLDEN,      ,PUR,1976,1
HOLDEN,      ,BRN,1978,1
HOLDEN,      ,RED,1978,1
HOLDEN,      ,YLW,1978,1
HOLDEN,      ,RED,1984,1
HOLDEN,      ,WHI,1985,1
HOLDEN,      ,RED,2001,1
HOLDEN,      ,WHI,2005,2
HOLDEN,      ,WHI,2009,2
HOLDEN,      ,RED,2010,1
HOLDEN,      ,WHI,2013,1
HONDA ,      ,RED,1980,1
HONDA ,      ,RED,1988,1
HONDA ,      ,BLK,2009,1
HONDA ,      ,BLU,2017,2
HONDA ,      ,RED,2021,1
HYNDAI,      ,RED,1997,1
HYNDAI,      ,SIL,2005,1
HYNDAI,      ,SIL,2007,1
HYNDAI,      ,WHI,2009,3
HYNDAI,      ,BLK,2010,2
HYNDAI,      ,BLU,2010,1
HYNDAI,      ,RED,2010,4
HYNDAI,      ,SIL,2010,1
HYNDAI,      ,WHI,2010,1
HYNDAI,      ,SIL,2011,2
HYNDAI,      ,WHI,2011,2
HYNDAI,      ,BLK,2012,1
HYNDAI,      ,WHI,2012,1
HYNDAI,      ,OGE,2013,1
HYNDAI,      ,RED,2013,1
HYNDAI,      ,SIL,2013,1
HYNDAI,      ,WHI,2013,2
HYNDAI,      ,GRY,2014,2
HYNDAI,      ,RED,2014,1
HYNDAI,      ,RED,2015,1
HYNDAI,      ,BLK,2018,1
INTERN,      ,RED,1973,2
INTERN,      ,RED,1976,1
INTERN,      ,WHI,1979,1
ISUZU ,      ,WHI,1981,1
ISUZU ,      ,WHI,1988,1
ISUZU ,      ,WHI,2010,1
ISUZU ,      ,WHI,2015,1
ISUZU ,      ,WHI,2020,1
ISUZU ,      ,RED,2023,1
IVECO ,      ,WHI,2010,2
IVECO ,      ,WHI,2012,1
IVECO ,      ,WHI,2023,1
J DEER,      ,GRN,1976,1
J DEER,      ,GRN,2013,1
J DEER,      ,GRN,2022,1
JEEP  ,      ,SIL,2009,1
JEEP  ,      ,BLK,2010,1
JEEP  ,      ,GRN,2010,1
JEEP  ,      ,BLK,2013,1
JEEP  ,      ,GRY,2013,2
JEEP  ,      ,SIL,2013,1
JEEP  ,      ,WHI,2013,1
JEEP  ,      ,GRY,2014,2
JEEP  ,      ,RED,2014,1
JEEP  ,      ,WHI,2014,1
KAWASA,      ,RED,1985,1
KIA   ,      ,WHI,2006,2
KIA   ,      ,SIL,2010,2
KIA   ,      ,GRY,2015,2
KIA   ,      ,SIL,2016,1
KIA   ,      ,WHI,2016,1
KIOTI ,      ,OGE,2023,1
KUBOTA,      ,OGE,2017,1
KUBOTA,      ,OGE,2022,2
KUBOTA,      ,OGE,2023,1
KYMCO ,      ,RED,2014,1
KYMCO ,      ,BLU,2023,1
L ROV ,      ,RED,1966,1
L ROV ,      ,YLW,1978,1
L ROV ,      ,GRN,2023,1
LEXUS ,      ,GLD,2013,1
LEXUS ,      ,SIL,2014,1
LEXUS ,      ,WHI,2014,1
LEXUS ,      ,SIL,2016,1
LEY   ,      ,BLU,1978,1
M G   ,      ,RED,1969,1
MASS F,      ,RED,1980,2
MASS F,      ,RED,1989,1
MAZDA ,      ,YLW,1985,1
MAZDA ,      ,FWN,1999,1
MAZDA ,      ,SIL,2000,1
MAZDA ,      ,GLD,2005,1
MC INT,      ,RED,1971,1
MERC B,      ,RED,1971,1
MERC B,      ,BLU,1975,1
MERC B,      ,RED,1975,1
MERC B,      ,YLW,1976,1
MERC B,      ,BLU,1981,1
MERC B,      ,CRM,1982,1
MERC B,      ,SIL,1982,1
MERC B,      ,GRN,1983,1
MERC B,      ,BRN,1984,2
MERC B,      ,SIL,2008,1
MERC B,      ,WHI,2012,1
MERC B,      ,GRY,2014,1
MERC B,      ,BLK,2017,1
MITSUB,      ,GRN,1986,1
MITSUB,      ,WHI,1988,1
MITSUB,      ,WHI,2011,1
MITSUB,      ,RED,2012,2
MITSUB,      ,BLU,2013,1
MITSUB,      ,RED,2014,1
MITSUB,      ,WHI,2014,3
MITSUB,      ,SIL,2015,1
MITSUB,      ,WHI,2016,2
N HOLL,      ,BLU,2020,2
N HOLL,      ,BLU,2023,2
NISSAN,      ,WHI,1985,1
NISSAN,      ,RED,1988,1
NISSAN,      ,RED,1994,1
NISSAN,      ,WHI,1997,1
NISSAN,      ,BLK,2002,2
NISSAN,      ,SIL,2005,1
NISSAN,      ,GRY,2007,2
NISSAN,      ,SIL,2007,1
NISSAN,      ,WHI,2011,1
NISSAN,      ,WHI,2018,1
PEUG  ,      ,WHI,2003,1
POLARI,      ,BRZ,2023,1
PORSCH,      ,GRY,1986,1
ROLLS ,      ,MRN,1929,1
SAAB  ,      ,GRY,2005,1
SCANIA,      ,WHI,2016,1
SHIBAU,      ,RED,1983,1
SSANGY,      ,SIL,2005,1
SUBARU,      ,BLU,1985,1
SUBARU,      ,SIL,2005,1
SUBARU,      ,WHI,2007,2
SUBARU,      ,SIL,2008,1
SUBARU,      ,WHI,2008,1
SUBARU,      ,GRY,2010,1
SUBARU,      ,SIL,2011,2
SUBARU,      ,GRY,2012,1
SUNB  ,      ,BLU,1964,1
SUZUKI,      ,BLU,1900,1
SUZUKI,      ,YLW,2001,2
SUZUKI,      ,SIL,2007,1
SUZUKI,      ,GRY,2010,1
SUZUKI,      ,WHI,2010,1
SUZUKI,      ,SIL,2011,1
SUZUKI,      ,GRY,2018,1
TADANO,      ,WHI,1998,1
TERBER,      ,WHI,2023,1
TOYOTA,      ,WHI,1974,1
TOYOTA,      ,WHI,1975,1
TOYOTA,      ,FWN,1982,2
TOYOTA,      ,WHI,1982,1
TOYOTA,      ,WHI,1983,1
TOYOTA,      ,FWN,1984,1
TOYOTA,      ,BRN,1985,1
TOYOTA,      ,GRY,1986,1
TOYOTA,      ,RED,1986,1
TOYOTA,      ,WHI,1986,3
TOYOTA,      ,FWN,1987,2
TOYOTA,      ,WHI,1987,1
TOYOTA,      ,RED,1988,1
TOYOTA,      ,WHI,1988,2
TOYOTA,      ,WHI,1989,1
TOYOTA,      ,GRN,1990,1
TOYOTA,      ,WHI,2000,2
TOYOTA,      ,BLK,2001,1
TOYOTA,      ,WHI,2001,2
TOYOTA,      ,WHI,2002,1
TOYOTA,      ,BLU,2006,1
TOYOTA,      ,BLK,2007,1
TOYOTA,      ,SIL,2007,1
TOYOTA,      ,WHI,2008,1
TOYOTA,      ,GRY,2009,1
TOYOTA,      ,SIL,2009,2
TOYOTA,      ,BLK,2010,4
TOYOTA,      ,GRY,2010,1
TOYOTA,      ,SIL,2010,2
TOYOTA,      ,WHI,2010,1
TOYOTA,      ,BLK,2011,3
TOYOTA,      ,BLU,2011,1
TOYOTA,      ,GRY,2011,2
TOYOTA,      ,SIL,2011,1
TOYOTA,      ,WHI,2011,1
TOYOTA,      ,BLK,2012,2
TOYOTA,      ,BLU,2012,1
TOYOTA,      ,GRY,2012,2
TOYOTA,      ,SIL,2012,1
TOYOTA,      ,WHI,2012,2
TOYOTA,      ,BLK,2013,1
TOYOTA,      ,BLU,2013,2
TOYOTA,      ,GRN,2013,1
TOYOTA,      ,GRY,2013,2
TOYOTA,      ,OGE,2013,1
TOYOTA,      ,RED,2013,2
TOYOTA,      ,SIL,2013,4
TOYOTA,      ,WHI,2013,3
TOYOTA,      ,BLU,2014,1
TOYOTA,      ,BRN,2014,1
TOYOTA,      ,GRY,2014,2
TOYOTA,      ,RED,2014,5
TOYOTA,      ,SIL,2014,4
TOYOTA,      ,WHI,2014,6
TOYOTA,      ,BLK,2015,1
TOYOTA,      ,BLU,2015,2
TOYOTA,      ,BRN,2015,1
TOYOTA,      ,GRY,2015,2
TOYOTA,      ,RED,2015,3
TOYOTA,      ,SIL,2015,6
TOYOTA,      ,WHI,2015,6
TOYOTA,      ,BLU,2016,1
TOYOTA,      ,RED,2016,1
TOYOTA,      ,SIL,2017,1
TOYOTA,      ,PNK,2022,1
TOYOTA,      ,PUR,2022,1
TOYOTA,      ,WHI,2022,1
TOYOTA,      ,BLK,2023,1
TRIUM ,      ,RED,1929,1
VERSAT,      ,RED,2018,1
VICTA ,      ,YLW,2011,1
VOLKS ,      ,BLU,1959,1
VOLKS ,      ,GRN,1975,2
VOLKS ,      ,GRN,1976,1
VOLKS ,      ,WHI,1976,1
VOLKS ,      ,RED,2005,2
VOLKS ,      ,BLK,2015,1
VOLVO ,      ,GRN,1984,1
VOLVO ,      ,SIL,1987,1
VOLVO ,      ,SIL,1998,1
VOLVO ,      ,WHI,2014,1
VOLVO ,      ,RED,2016,1
VOLVO ,      ,WHI,2016,1
WIRTGN,      ,WHI,2022,1
ZETOR ,      ,RED,1985,1
PORSCH, ACA14,BLU,2019,1
MERC B, LA250,GRY,2016,1
HYNDAI,\USCON,RED,2019,3
HONDA ,0     ,WHI,2003,1
FERRAR,00005 ,RED,1996,2
HYNDAI,00038 ,WHI,1998,1
TOYOTA,00192 ,WHI,1995,1
TOYOTA,00737 ,GRN,1993,1
TOYOTA,00737 ,BLU,1998,1
JAGUAR,00CAR ,GRN,1978,1
NISSAN,00CAR ,MRN,1992,1
F LINE,00MOVE,WHI,2016,1
