CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL1
B M W ,      ,YLW,1973,1
B M W ,      ,BLU,1981,1
B M W ,      ,GRY,2012,4
B M W ,      ,RED,2012,1
B M W ,      ,WHI,2012,2
B M W ,      ,BLK,2013,2
B M W ,      ,WHI,2013,1
B M W ,      ,GLD,2014,1
B M W ,      ,GRY,2014,1
B M W ,      ,WHI,2014,1
B M W ,      ,SIL,2015,2
B M W ,      ,WHI,2015,2
B M W ,      ,GRY,2016,1
B M W ,      ,SIL,2016,1
B M W ,      ,WHI,2018,1
BRISTL,      ,GLD,1951,1
CAN AM,      ,BLK,2022,1
CAN AM,      ,WHI,2023,1
CAN AM,      ,YLW,2023,1
CASE  ,      ,YLW,1978,1
CHAMB ,      ,YLW,1970,1
CHAMB ,      ,YLW,1979,1
CHEV  ,      ,BLK,1939,1
CHEV  ,      ,WHI,1967,1
CHRYS ,      ,GLD,1970,1
CITRN ,      ,WHI,2010,1
DEUTZ ,      ,GRN,1976,1
DEUTZ ,      ,GRN,1981,1
DEUTZ ,      ,GRN,2021,1
DODGE ,      ,SIL,2013,1
FERG  ,      ,GRY,1950,1
FIAT  ,      ,WHI,2010,1
FORD  ,      ,RED,1928,1
FORD  ,      ,BLU,1934,1
FORD  ,      ,GRN,1950,1
FORD  ,      ,BLU,1966,1
FORD  ,      ,WHI,1966,1
FORD  ,      ,WHI,1970,1
FORD  ,      ,BLU,1973,1
FORD  ,      ,BLU,1976,1
FORD  ,      ,OGE,1978,1
FORD  ,      ,YLW,1978,1
FORD  ,      ,BLU,1983,1
FORD  ,      ,BLU,1985,1
FORD  ,      ,BLU,1987,1
FORD  ,      ,WHI,1988,1
FORD  ,      ,WHI,2000,1
FORD  ,      ,WHI,2003,1
FORD  ,      ,BLU,2004,1
FORD  ,      ,WHI,2004,1
FORD  ,      ,BLK,2005,3
FORD  ,      ,GLD,2006,1
FORD  ,      ,GRY,2006,1
FORD  ,      ,MRN,2006,1
FORD  ,      ,RED,2006,2
FORD  ,      ,WHI,2006,1
FORD  ,      ,BLK,2008,1
FORD  ,      ,BLU,2008,1
FORD  ,      ,WHI,2008,1
FORD  ,      ,BLU,2009,3
FORD  ,      ,SIL,2009,1
FORD  ,      ,BLK,2010,5
FORD  ,      ,SIL,2010,2
FORD  ,      ,BLU,2011,2
FORD  ,      ,GRY,2011,1
FORD  ,      ,RED,2011,4
FORD  ,      ,WHI,2011,2
FORD  ,      ,BLU,2012,1
FORD  ,      ,OGE,2012,1
FORD  ,      ,PUR,2012,3
FORD  ,      ,RED,2012,1
FORD  ,      ,SIL,2012,2
FORD  ,      ,BRN,2013,2
FORD  ,      ,GRY,2013,2
FORD  ,      ,WHI,2013,2
FORD  ,      ,BLU,2014,1
FORD  ,      ,SIL,2014,1
FORD  ,      ,SIL,2015,1
FORD  ,      ,WHI,2016,1
FORDSN,      ,BLU,1954,1
FRGHTR,      ,WHI,2009,1
FUSO  ,      ,WHI,2006,1
G WALL,      ,WHI,2009,1
G WALL,      ,WHI,2011,1
G WALL,      ,BLK,2013,1
GROVE ,      ,WHI,2023,1
HIGER ,      ,WHI,2012,1
HIGER ,      ,WHI,2014,1
HINO  ,      ,WHI,1982,1
HINO  ,      ,WHI,2006,1
HINO  ,      ,WHI,2015,1
HITACH,      ,OGE,2018,1
HOLDEN,      ,GRY,1958,1
HOLDEN,      ,GRN,1964,1
HOLDEN,      ,BRN,1969,1
HOLDEN,      ,YLW,1970,1
HOLDEN,      ,FWN,1973,1
HOLDEN,      ,RED,1974,1
HOLDEN,      ,WHI,1975,1
HOLDEN,      ,RED,1976,1
HOLDEN,      ,GRN,1979,1
