CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
ABARTH,695 CO,BLK,2023,3
ABARTH,695 CO,BLU,2023,1
ABARTH,695 CO,GRY,2023,2
ABARTH,695 CO,WHI,2023,1
ACE   ,AL270 ,YLW,2023,1
ACHTNG,ACHTUN,WHI,2023,1
AGRIFC,CONDOR,RED,2023,1
ALFA R,GIULIA,BLK,2023,1
ALFA R,GIULIA,GRY,2023,2
ALFA R,GIULIA,RED,2023,4
ALFA R,GIULIA,WHI,2023,1
ALFA R,STELVI,RED,2023,1
ALFA R,STELVI,WHI,2023,2
ALFA R,TONALE,BLK,2023,4
ALFA R,TONALE,BLU,2023,1
ALFA R,TONALE,GRN,2023,2
ALFA R,TONALE,GRY,2023,1
ALFA R,TONALE,RED,2023,6
ALFA R,TONALE,WHI,2023,5
APRILI,RS660 ,BLK,2023,1
APRILI,RS660 ,GLD,2022,1
APRILI,RS660 ,WHI,2023,1
APRILI,TUAREG,RED,2023,2
APRILI,TUO660,BLK,2022,1
APRILI,XC660 ,GLD,2023,1
APRILI,XC660 ,RED,2022,1
ARCTIC,NORSEM,RED,2022,2
ASTON ,VANTAG,GRN,2023,1
AUDI  ,A1    ,BLU,2023,1
AUDI  ,A1    ,SIL,2023,1
AUDI  ,A1    ,WHI,2023,4
AUDI  ,A3    ,BLK,2023,6
AUDI  ,A3    ,BLU,2023,4
AUDI  ,A3    ,GRY,2023,7
AUDI  ,A3    ,SIL,2023,2
AUDI  ,A3    ,WHI,2023,10
AUDI  ,A4    ,BLK,2023,6
AUDI  ,A4    ,BLU,2023,1
AUDI  ,A4    ,GRY,2023,4
AUDI  ,A4    ,WHI,2023,1
AUDI  ,A5    ,BLK,2023,5
AUDI  ,A5    ,BLU,2023,1
AUDI  ,A5    ,GRY,2023,4
AUDI  ,A5    ,RED,2023,1
AUDI  ,A8    ,BLK,2023,1
AUDI  ,E TRON,GRY,2023,1
AUDI  ,ETRON ,GRY,2023,1
AUDI  ,E-TRON,BLK,2023,1
AUDI  ,Q2    ,BLK,2023,10
AUDI  ,Q2    ,BLU,2023,3
AUDI  ,Q2    ,GRY,2023,3
AUDI  ,Q2    ,RED,2023,1
AUDI  ,Q2    ,SIL,2023,3
AUDI  ,Q2    ,WHI,2023,6
AUDI  ,Q3    ,BLK,2022,1
AUDI  ,Q3    ,BLK,2023,10
AUDI  ,Q3    ,BLU,2023,3
AUDI  ,Q3    ,GRY,2022,1
AUDI  ,Q3    ,GRY,2023,7
AUDI  ,Q3    ,RED,2023,1
AUDI  ,Q3    ,SIL,2023,2
AUDI  ,Q3    ,WHI,2022,1
AUDI  ,Q3    ,WHI,2023,8
AUDI  ,Q5    ,BLK,2023,19
AUDI  ,Q5    ,BLU,2023,6
AUDI  ,Q5    ,GRN,2023,2
AUDI  ,Q5    ,GRY,2023,14
AUDI  ,Q5    ,WHI,2023,22
AUDI  ,Q7    ,BLK,2023,13
AUDI  ,Q7    ,BLU,2023,3
AUDI  ,Q7    ,GRY,2022,1
AUDI  ,Q7    ,GRY,2023,11
AUDI  ,Q7    ,WHI,2023,5
AUDI  ,Q8    ,BLK,2023,2
AUDI  ,Q8    ,BLU,2023,2
AUDI  ,Q8    ,GRY,2023,2
AUDI  ,Q8    ,WHI,2023,1
AUDI  ,RS ETR,BLK,2023,1
AUDI  ,RS3   ,BLK,2023,4
AUDI  ,RS3   ,GRY,2023,3
AUDI  ,RS3   ,WHI,2023,3
AUDI  ,RS5   ,BLK,2023,1
AUDI  ,RSQ3  ,GRY,2023,1
AUDI  ,RSQ8  ,GRY,2023,1
AUDI  ,S3    ,BLK,2023,2
AUDI  ,S3    ,BLU,2023,1
AUDI  ,S3    ,GRY,2023,3
AUDI  ,S3    ,WHI,2022,1
AUDI  ,S3 SPO,WHI,2023,1
AUDI  ,S4    ,BLK,2023,1
AUDI  ,S4    ,GRY,2022,1
AUDI  ,S4    ,GRY,2023,1
AUDI  ,S4    ,WHI,2022,1
AUDI  ,S5    ,BLK,2023,6
AUDI  ,S5    ,BLU,2023,1
AUDI  ,S5    ,GRY,2023,1
AUDI  ,S5    ,WHI,2023,2
AUDI  ,SQ2   ,BLK,2023,2
AUDI  ,SQ2   ,BLU,2023,1
AUDI  ,SQ2   ,GRY,2023,2
AUDI  ,SQ2   ,WHI,2023,1
AUDI  ,SQ5   ,BLK,2023,1
AUDI  ,SQ5   ,BLU,2023,2
AUDI  ,SQ5   ,GRY,2023,2
AUDI  ,SQ7   ,BLK,2023,1
AUDI  ,SQ8   ,BLK,2023,2
AUDI  ,SQ8   ,GRY,2023,1
AUDI  ,SQ8   ,WHI,2023,2
AUDI  ,TT    ,BLK,2023,2
AUDI  ,TT    ,BLU,2023,1
B M W ,1 SERI,BLK,2023,1
B M W ,118   ,BLK,2023,1
B M W ,118I  ,BLK,2023,2
B M W ,118I  ,BLU,2023,1
B M W ,118I  ,GRY,2023,5
B M W ,118I  ,RED,2023,1
B M W ,118I  ,WHI,2023,3
B M W ,118I H,WHI,2023,1
B M W ,1250GS,BLK,2023,1
B M W ,128TI ,BLK,2023,4
B M W ,128TI ,GRY,2023,3
B M W ,128TI ,WHI,2023,2
B M W ,218I  ,BLK,2023,8
B M W ,218I  ,GRY,2023,3
B M W ,218I  ,RED,2023,1
B M W ,218I  ,WHI,2023,3
B M W ,218I G,GRY,2023,2
B M W ,220I  ,BLK,2023,6
B M W ,220I  ,BLU,2023,2
B M W ,220I  ,GRY,2023,4
B M W ,220I  ,WHI,2023,8
B M W ,220I G,BLU,2023,1
B M W ,220I G,GRY,2023,1
B M W ,230I  ,BLU,2023,2
B M W ,230I  ,GRY,2023,1
B M W ,3 SERI,GRY,2023,2
B M W ,320I  ,BLK,2023,8
B M W ,320I  ,BLU,2023,4
B M W ,320I  ,GRY,2023,13
B M W ,320I  ,RED,2023,1
B M W ,320I  ,WHI,2023,9
B M W ,330E  ,BLK,2023,2
B M W ,330E  ,WHI,2023,2
B M W ,330I  ,BLK,2023,10
B M W ,330I  ,BLU,2023,6
B M W ,330I  ,GRY,2023,4
B M W ,330I  ,RED,2023,1
B M W ,330I  ,WHI,2023,5
B M W ,420I  ,BLK,2023,2
B M W ,420I  ,BLU,2023,1
B M W ,420I  ,WHI,2023,2
B M W ,420I C,BLU,2023,1
B M W ,420I G,GRY,2023,1
B M W ,430I  ,BLK,2023,4
B M W ,430I  ,BLU,2023,1
B M W ,430I  ,GRY,2023,2
B M W ,430I  ,WHI,2023,3
B M W ,430I G,BLU,2023,1
B M W ,430I G,WHI,2023,2
B M W ,530D  ,BLK,2023,3
B M W ,530D  ,BLU,2023,4
B M W ,530D  ,GRY,2023,3
B M W ,530D  ,WHI,2023,1
