CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
ABARTH,695 CO,BLK,2023,2
ABARTH,695 CO,BLU,2023,2
ABARTH,695 CO,GRY,2023,3
ABARTH,695 CO,RED,2023,2
ABARTH,695 CO,WHI,2023,5
ACHTNG,VOLKSW,WHI,2023,2
ALFA R,GIULIA,BLK,2023,3
ALFA R,GIULIA,BLU,2023,1
ALFA R,GIULIA,GRY,2023,1
ALFA R,GIULIA,RED,2023,6
ALFA R,GIULIA,WHI,2023,3
ALFA R,STELVI,BLK,2023,1
ALFA R,STELVI,BLU,2023,3
ALFA R,STELVI,GRY,2023,2
ALFA R,STELVI,RED,2023,3
ALFA R,STELVI,WHI,2023,2
ALFA R,TONALE,BLK,2023,4
ALFA R,TONALE,BLU,2023,4
ALFA R,TONALE,GRN,2023,2
ALFA R,TONALE,GRY,2023,3
ALFA R,TONALE,RED,2023,8
ALFA R,TONALE,WHI,2023,5
ANTONI,TTR760,RED,2023,1
APRILI,RS 660,BLK,2023,1
APRILI,RS660 ,PUR,2023,1
APRILI,XC660 ,RED,2023,1
ARCTIC,      ,RED,2022,1
ARCTIC,SNOW  ,RED,2023,1
ASTON ,VANTAG,BLK,2023,1
AUDI  ,A1    ,BLK,2023,2
AUDI  ,A1    ,BLU,2023,1
AUDI  ,A1    ,WHI,2023,2
AUDI  ,A1    ,YLW,2023,1
AUDI  ,A3    ,BLK,2023,12
AUDI  ,A3    ,BLU,2023,4
AUDI  ,A3    ,GRY,2023,10
AUDI  ,A3    ,RED,2023,2
AUDI  ,A3    ,SIL,2023,2
AUDI  ,A3    ,WHI,2023,9
AUDI  ,A4    ,BLK,2023,4
AUDI  ,A4    ,BLU,2023,1
AUDI  ,A4    ,GRY,2023,10
AUDI  ,A4    ,WHI,2023,4
AUDI  ,A5    ,BLK,2023,3
AUDI  ,A5    ,BLU,2023,1
AUDI  ,A5    ,GRY,2023,4
AUDI  ,A5    ,WHI,2023,1
AUDI  ,A6    ,BLK,2023,1
AUDI  ,A6    ,SIL,2023,1
AUDI  ,CWG 21,BLU,2023,1
AUDI  ,CZDC76,GRY,2023,1
AUDI  ,ETRON ,BLK,2023,1
AUDI  ,ETRON ,BLU,2022,1
AUDI  ,ETRON ,GRY,2023,3
AUDI  ,Q2    ,BLK,2023,4
AUDI  ,Q2    ,BLU,2023,1
AUDI  ,Q2    ,GRN,2023,1
AUDI  ,Q2    ,GRY,2023,4
