CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
ABARTH,695 CO,BLK,2023,3
ABARTH,695 CO,GRY,2023,3
ABARTH,695 CO,RED,2023,4
ABARTH,695 CO,WHI,2023,5
ACHTNG,VOLKSW,BEI,2023,1
ACHTNG,VOLKSW,BLK,2023,1
ACHTNG,VOLKSW,GRY,2023,1
AGCO  ,1300C ,YLW,2022,1
ALFA R,GIULIA,BLK,2023,1
ALFA R,GIULIA,BLU,2023,1
ALFA R,GIULIA,RED,2023,1
ALFA R,STELVI,BLK,2023,4
ALFA R,STELVI,BLU,2023,1
ALFA R,STELVI,GRY,2023,1
ALFA R,STELVI,RED,2023,4
ALFA R,STELVI,WHI,2023,4
ALFA R,TONALE,BLK,2023,2
ALFA R,TONALE,BLU,2023,1
ALFA R,TONALE,GRY,2023,2
ALFA R,TONALE,RED,2023,3
ALFA R,TONALE,WHI,2023,4
ANTONI,ERGTSX,RED,2023,1
APOLLO,354,RED,2023,1
APRILI,RS 660,BLK,2023,1
APRILI,RS 660,PUR,2023,1
APRILI,RS660 ,BLK,2023,1
APRILI,RS660 ,PUR,2023,1
APRILI,RSV4 F,BLK,2023,2
ARGO  ,AURORA,GRN,2022,1
ASTON ,DBX 70,GRY,2023,1
ASTON ,VANTAG,SIL,2023,1
AUDI  ,A1    ,BLK,2023,3
AUDI  ,A1    ,GRY,2023,3
AUDI  ,A1    ,SIL,2023,1
AUDI  ,A1    ,WHI,2023,6
AUDI  ,A3    ,BLK,2023,7
AUDI  ,A3    ,BLU,2023,3
AUDI  ,A3    ,GRY,2023,13
AUDI  ,A3    ,RED,2023,1
AUDI  ,A3    ,SIL,2023,3
AUDI  ,A3    ,WHI,2023,7
AUDI  ,A4    ,BLK,2023,5
AUDI  ,A4    ,BLU,2023,2
AUDI  ,A4    ,GRY,2023,5
AUDI  ,A4    ,WHI,2023,6
AUDI  ,A4 ALL,BLU,2023,1
AUDI  ,A4 ALL,WHI,2023,1
AUDI  ,A5    ,BLK,2023,6
AUDI  ,A5    ,BLU,2023,1
AUDI  ,A5    ,GRY,2023,4
AUDI  ,A5    ,RED,2023,1
AUDI  ,A5    ,WHI,2023,5
AUDI  ,A6    ,BLK,2022,1
AUDI  ,A6    ,GRY,2023,1
AUDI  ,A7    ,BLK,2023,1
AUDI  ,ETRON ,BLK,2022,1
AUDI  ,ETRON ,BLK,2023,2
AUDI  ,Q2    ,BLK,2023,5
AUDI  ,Q2    ,BLU,2023,3
AUDI  ,Q2    ,GRY,2023,3
AUDI  ,Q2    ,RED,2023,1
AUDI  ,Q2    ,SIL,2023,1
AUDI  ,Q2    ,WHI,2023,5
AUDI  ,Q3    ,BLK,2022,1
AUDI  ,Q3    ,BLK,2023,36
AUDI  ,Q3    ,BLU,2022,1
AUDI  ,Q3    ,BLU,2023,13
AUDI  ,Q3    ,GRY,2023,26
AUDI  ,Q3    ,OGE,2023,1
AUDI  ,Q3    ,RED,2023,1
AUDI  ,Q3    ,SIL,2023,7
AUDI  ,Q3    ,WHI,2022,1
AUDI  ,Q3    ,WHI,2023,32
AUDI  ,Q5    ,BLK,2022,3
AUDI  ,Q5    ,BLK,2023,34
AUDI  ,Q5    ,BLU,2023,8
AUDI  ,Q5    ,GRY,2022,1
AUDI  ,Q5    ,GRY,2023,25
AUDI  ,Q5    ,SIL,2023,6
AUDI  ,Q5    ,WHI,2023,39
AUDI  ,Q7    ,BLK,2023,13
AUDI  ,Q7    ,BLU,2023,2
AUDI  ,Q7    ,GRY,2023,13
AUDI  ,Q7    ,SIL,2023,1
AUDI  ,Q7    ,WHI,2023,11
AUDI  ,Q8    ,BLK,2023,3
AUDI  ,Q8    ,GRY,2023,5
AUDI  ,Q8    ,WHI,2023,1
AUDI  ,RS 3  ,BLU,2023,1
AUDI  ,RS Q3 ,GRY,2023,1
AUDI  ,RS3   ,BLK,2023,2
AUDI  ,RS3   ,GRN,2023,2
AUDI  ,RS3   ,GRY,2023,8
AUDI  ,RS3   ,WHI,2023,1
AUDI  ,RS4   ,GRY,2023,1
AUDI  ,RS5   ,GRY,2023,1
AUDI  ,RS5   ,WHI,2023,3
AUDI  ,RS6   ,BLK,2023,1
AUDI  ,RS6   ,BLU,2023,1
AUDI  ,RS6   ,GRY,2023,1
AUDI  ,RSETRO,GRY,2023,1
AUDI  ,RSQ3  ,BLK,2023,8
AUDI  ,RSQ3  ,GRY,2023,7
AUDI  ,RSQ3  ,WHI,2023,1
AUDI  ,S3    ,BLK,2022,1
AUDI  ,S3    ,BLK,2023,8
AUDI  ,S3    ,BLU,2023,3
AUDI  ,S3    ,GRY,2023,5
AUDI  ,S3    ,RED,2023,4
AUDI  ,S3    ,WHI,2022,1
AUDI  ,S3    ,WHI,2023,6
AUDI  ,S3    ,YLW,2023,1
AUDI  ,S4    ,BLK,2022,1
AUDI  ,S4    ,BLK,2023,2
AUDI  ,S4    ,GRY,2022,1
AUDI  ,S4    ,GRY,2023,1
AUDI  ,S5    ,BLK,2023,2
AUDI  ,S5    ,WHI,2023,1
AUDI  ,SQ2   ,BLK,2023,1
AUDI  ,SQ2   ,GRY,2023,3
AUDI  ,SQ2   ,WHI,2023,1
AUDI  ,SQ5   ,BLK,2023,10
AUDI  ,SQ5   ,BLU,2023,1
AUDI  ,SQ5   ,GRY,2023,8
AUDI  ,SQ5   ,WHI,2023,4
AUDI  ,SQ7   ,BLK,2023,2
AUDI  ,SQ7   ,GRY,2023,1
AUDI  ,SQ7   ,WHI,2023,2
AUDI  ,TT    ,GRY,2023,1
AVANT ,750,GRN,2022,1
B M W ,1 SERI,BLK,2023,1
B M W ,118,WHI,2023,1
B M W ,118I  ,BLK,2023,12
B M W ,118I  ,BLU,2023,9
B M W ,118I  ,GRY,2023,10
B M W ,118I  ,RED,2023,1
B M W ,118I  ,WHI,2023,12
B M W ,128TI ,BLK,2023,2
B M W ,128TI ,GRY,2023,6
B M W ,128TI ,RED,2023,1
B M W ,128TI ,WHI,2023,3
B M W ,2 SERI,BLK,2023,3
B M W ,2 SERI,WHI,2023,1
B M W ,218I  ,BLK,2023,1
B M W ,218I  ,BLU,2023,2
B M W ,218I  ,GRY,2023,2
B M W ,218I  ,WHI,2023,2
B M W ,218I G,BLK,2023,2
B M W ,218I G,GRY,2023,1
B M W ,218I G,WHI,2023,1
B M W ,220I  ,BLK,2023,12
