CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,TOTAL1
A BARF,      ,OGE,1
A BARF,      ,RED,1
A BARF,      ,YLW,7
A BUS ,      ,WHI,1
A C   ,      ,BLU,1
A C   ,      ,RED,1
A CAT ,      ,GRN,2
A CAT ,      ,GRY,1
A J S ,      ,BLK,5
A MSTR,      ,RED,1
A S P ,      ,GRN,1
A SID ,      ,BLU,1
ACE   ,      ,YLW,3
ACTIVE,      ,YLW,6
AEC   ,      ,BLU,1
AEC   ,      ,WHI,2
AGCO  ,      ,GRY,1
AGCO  ,      ,SIL,3
AGRIFL,      ,GRN,1
AGRIFL,      ,RED,1
AGRISC,      ,GRN,1
AGRSON,      ,GRN,1
AGTOR ,      ,RED,1
ALBION,      ,BLU,3
ALBION,      ,CRM,1
ALBION,      ,GRN,2
ALBION,      ,MRN,1
ALBION,      ,RED,1
ALBION,      ,WHI,1
ALFA R,      ,BLK,7
ALFA R,      ,BLU,11
ALFA R,      ,BRN,4
ALFA R,      ,CRM,3
ALFA R,      ,FWN,1
ALFA R,      ,GRN,8
ALFA R,      ,GRY,8
ALFA R,      ,MRN,2
ALFA R,      ,OGE,2
ALFA R,      ,PUR,1
ALFA R,      ,RED,66
ALFA R,      ,SIL,19
ALFA R,      ,WHI,24
ALFA R,      ,YLW,10
ALLIS ,      ,GRY,2
ALLIS ,      ,OGE,32
ALLIS ,      ,RED,6
ALLIS ,      ,SIL,13
ALLIS ,      ,YLW,13
ALVIS ,      ,CRM,1
AM L F,      ,RED,1
AMMANN,      ,OGE,1
AMMANN,      ,YLW,1
ANSAIR,      ,BLU,1
ANSAIR,      ,CRM,1
ANTONI,      ,RED,5
APOLLO,      ,RED,3
APRILI,      ,BLK,10
APRILI,      ,OGE,1
APRILI,      ,RED,3
APRILI,      ,YLW,1
AR JN ,      ,BLU,1
ARCTIC,      ,BLU,1
ARCTIC,      ,RED,2
ARIEL ,      ,BLK,2
ARIEL ,      ,BLU,1
ARIEL ,      ,RED,1
ARNTZ ,      ,BLK,1
ARQIN ,      ,RED,1
ASI   ,      ,WHI,1
ASI   ,      ,YLW,1
ASIA  ,      ,WHI,2
ASTON ,      ,BLK,2
ASTON ,      ,BLU,2
ASTON ,      ,BRN,1
ASTON ,      ,GRN,2
ASTON ,      ,GRY,2
ASTON ,      ,MRN,1
ASTON ,      ,RED,2
ASTON ,      ,SIL,6
ASTRUM,      ,BLU,1
ASTRUM,      ,BRN,1
ASTRUM,      ,GRN,1
ASTRUM,      ,RED,1
ASTRUM,      ,YLW,1
ASV   ,      ,YLW,2
ATKINS,      ,BLK,1
ATKINS,      ,BLU,4
ATKINS,      ,BRN,2
ATKINS,      ,CRM,2
ATKINS,      ,FWN,1
ATKINS,      ,GRN,2
ATKINS,      ,GRY,3
ATKINS,      ,MRN,1
ATKINS,      ,RED,4
ATKINS,      ,WHI,7
ATKINS,      ,YLW,1
ATOMIC,      ,YLW,1
ATOMIK,      ,GRN,1
AUDI  ,      ,BLK,13
AUDI  ,      ,BLU,4
AUDI  ,      ,BRN,1
AUDI  ,      ,GLD,1
AUDI  ,      ,GRY,11
AUDI  ,      ,RED,4
AUDI  ,      ,SIL,4
AUDI  ,      ,WHI,15
AUDI  ,      ,YLW,1
AUSA  ,      ,OGE,2
AUSCA ,      ,RED,1
AUSTIN,      ,BLK,7
AUSTIN,      ,BLU,28
AUSTIN,      ,BRN,1
AUSTIN,      ,CRM,1
AUSTIN,      ,FWN,3
AUSTIN,      ,GRN,49
AUSTIN,      ,GRY,17
AUSTIN,      ,MRN,2
AUSTIN,      ,OGE,4
AUSTIN,      ,RED,76
AUSTIN,      ,SIL,1
AUSTIN,      ,WHI,19
AUSTIN,      ,YLW,7
AUSTRK,      ,YLW,1
AUSTRL,      ,BLU,1
AUSTRL,      ,SIL,1
AUTOCR,      ,OGE,1
AVAN  ,      ,WHI,2
AVANT ,      ,GRN,2
B C I ,      ,WHI,19
B H B ,      ,YLW,5
B KNOX,      ,PNK,1
B KNOX,      ,YLW,1
B M C ,      ,OGE,1
B M C ,      ,RED,1
B M W ,      ,BLK,220
B M W ,      ,BLU,73
B M W ,      ,BRN,24
B M W ,      ,CRM,1
B M W ,      ,FWN,11
B M W ,      ,GLD,9
B M W ,      ,GRN,18
B M W ,      ,GRY,138
B M W ,      ,MRN,7
B M W ,      ,OGE,13
B M W ,      ,PUR,1
B M W ,      ,RED,61
B M W ,      ,SIL,147
B M W ,      ,WHI,294
B M W ,      ,YLW,4
B S A ,      ,BLK,7
B S A ,      ,BLU,1
B S A ,      ,GRN,2
B S A ,      ,RED,6
B Y D ,      ,WHI,1
BAOLI ,      ,GRN,1
BASHAN,      ,BLU,1
BCS   ,      ,BLU,1
BED   ,      ,BLK,2
BED   ,      ,BLU,35
BED   ,      ,BRN,10
BED   ,      ,CRM,56
BED   ,      ,FWN,13
BED   ,      ,GLD,1
BED   ,      ,GRN,99
BED   ,      ,GRY,9
BED   ,      ,MRN,2
BED   ,      ,OGE,14
BED   ,      ,PNK,3
BED   ,      ,PUR,2
BED   ,      ,RED,172
BED   ,      ,SIL,3
BED   ,      ,WHI,190
BED   ,      ,YLW,36
BED IS,      ,BLU,12
BED IS,      ,GRN,1
BED IS,      ,PUR,1
BED IS,      ,WHI,7
BELARS,      ,BRN,1
BELARS,      ,CRM,3
BELARS,      ,OGE,4
BELARS,      ,RED,34
BELARS,      ,WHI,2
BELL  ,      ,YLW,2
BENELL,      ,GLD,1
BENT  ,      ,BLK,9
BENT  ,      ,BLU,1
BENT  ,      ,BRN,4
BENT  ,      ,GRN,8
BENT  ,      ,GRY,15
BENT  ,      ,MRN,2
BENT  ,      ,SIL,1
BENT  ,      ,WHI,3
BENTON,      ,BLK,1
BERK  ,      ,CRM,1
BOBCAT,      ,WHI,15
BOLENS,      ,BLU,1
BOLWEL,      ,BLK,3
BOLWEL,      ,BLU,4
BOLWEL,      ,GLD,1
BOLWEL,      ,GRN,2
BOLWEL,      ,GRY,1
BOLWEL,      ,MRN,1
BOLWEL,      ,OGE,2
BOLWEL,      ,RED,3
BOLWEL,      ,YLW,3
BOMAG ,      ,WHI,2
BOMAG ,      ,YLW,2
BOMBDR,      ,BLK,1
BOMBDR,      ,RED,3
BOMBDR,      ,SIL,1
BOMBDR,      ,YLW,3
BONLCK,      ,WHI,3
BOOM T,      ,YLW,1
BORG  ,      ,CRM,1
BORG  ,      ,GRY,1
BORUM ,      ,YLW,1
BOSS  ,      ,WHI,1
BRANSN,      ,RED,4
BRAY  ,      ,YLW,1
BRISTL,      ,BLU,1
BRISTL,      ,GLD,1
BRISTL,      ,GRN,2
